index,TOOL,EVENT_ID,DATE_TIME,TRANSACTION_CODE,NEW_AVAILABLE_CODE,COMMENT,Problem,Actions,Category
0,RIE03     ,0,1/9/2024 17:19,UMCOMP,D,"Problem:Facilities PCW issue., PRC:Unknown, Action:Facilities have resolved the issu, e., Problem:Facilities PCW issue., PRC:Unknown, Action:Facilities have resolved the issu, e.","Facilities PCW issue., Facilities PCW issue.","Facilities have resolved the issue., Facilities have resolved the issue.",Facility Issues
1,RIE03     ,0,1/15/2024 1:28,UMCOMP,D,"P:PM slit valve :too long to open., r:software, c:unable to retry, tool not responding., reset/restart software. Cycle test wafer, s with no issues. will return to mfg., P:PM slit valve :too long to open., r:software, c:unable to retry, tool not responding., reset/restart software. Cycle test wafer, s with no issues. will return to mfg.",PM slit valve taking too long to open; unable to retry and tool not responding.,"Reset/restart software, then cycle test wafer with no issues; return tool to manufacturing.",slit valve issues
2,RIE03     ,0,1/23/2024 0:56,UMCOMP,D,"Problem: Keyboard not working., PRC: GUI comm problem., Action: Reboot PM2 computer to recover, keyboard. Initiailized app., Noticed JOB ID field can not be typed, into, until wafers are loaded and, job selected. IDK if this was origianl, problem. RTP, Problem: Keyboard not working., PRC: GUI comm problem., Action: Reboot PM2 computer to recover, keyboard. Initiailized app., Noticed JOB ID field can not be typed, into, until wafers are loaded and, job selected. IDK if this was origianl, problem. RTP",Keyboard not working; GUI communication problem; JOB ID field cannot be typed into until wafers are loaded and job selected (uncertain if this was the original problem).,Rebooted PM2 computer to recover keyboard; initialized application; observed behavior of JOB ID field input dependency on wafers being loaded and job selected.,System Operating issues
3,RIE03     ,0,1/23/2024 6:49,UMCOMP,D,"PRPBLEM:KEY BOARD NOT WORKING, PRC:Computer., Action:Rebooted the system...RTM,,, PRPBLEM:KEY BOARD NOT WORKING, PRC:Computer., Action:Rebooted the system...RTM,,",Keyboard not working on computer,Rebooted the system (RTM),System Operating issues
4,RIE03     ,0,1/23/2024 12:03,UMCOMP,D,"Problem:Gui key board not working., PRC:Key board., Action:OP provided with a new key board, Installed and its functional.RTM.., Problem:Gui key board not working., PRC:Key board., Action:OP provided with a new key board, Installed and its functional.RTM..",Gui key board not working.,"OP provided with a new key board, installed and verified functional (RTM).",System Operating issues
5,RIE03     ,0,1/26/2024 9:41,UMCOMP,D,"THE TEST RUN IS DONE WITHOUT ISSUE AFTER, REBOOT., PROBLEM: SLITVALVE ISSUE, ACTION: REBOOT SYSTEM., THE TEST RUN IS DONE WITHOUT ISSUE AFTER, REBOOT., PROBLEM: SLITVALVE ISSUE, ACTION: REBOOT SYSTEM.",Slitvalve issue,Rebooted system; performed test run after reboot (no issues observed).,slit valve issues
6,RIE03     ,0,1/26/2024 17:33,UMCOMP,D,"Problem: software issue., Action: reboot system and test run, without issue., Problem: software issue., Action: reboot system and test run, without issue.",software issue,"reboot system and test run, without issue","Software, PCS, ELOG issues"
7,RIE03     ,0,1/28/2024 13:56,UMCOMP,D,"Test run is done withou issue., Problem: Slitvalve open timeout., Action: reboot system., Test run is done withou issue., Problem: Slitvalve open timeout., Action: reboot system.",Slitvalve open timeout.,reboot system; Test run is done without issue; Slitvalve open timeout occurred again; reboot system; Test run is done without issue,slit valve issues
8,RIE03     ,0,1/30/2024 3:34,UMCOMP,D,"PROBLEM:, Could not open PM2 slit valve:Slit valve, took too long to open, PRC:, Controller problem, Act:, Reboot the system,  and tested with 3, dummies. No issues............RTP, PROBLEM:, Could not open PM2 slit valve:Slit valve, took too long to open, PRC:, Controller problem, Act:, Reboot the system,  and tested with 3, dummies. No issues............RTP",Could not open PM2 slit valve; slit valve took too long to open; controller problem,Rebooted the system and tested with 3 dummies; no issues observed,slit valve issues
9,RIE03     ,0,2/7/2024 4:46,UMCOMP,D,"Problem:, Power glitch, PRC, PGE, Act:, Waafer was in cassette. restart pumps, and chillers. Pump chamber down. recover, production wafer. ran a dummy with no, issues..............................., Problem:, Power glitch, PRC, PGE, Act:, Waafer was in cassette. restart pumps, and chillers. Pump chamber down. recover, production wafer. ran a dummy with no, issues...............................","Power glitch, PRC, PGE",Wafer was in cassette. Restart pumps and chillers. Pump chamber down. Recover production wafer. Ran a dummy with no issues.,Power glitch issues
10,RIE03     ,0,3/2/2024 9:34,UMCOMP,D,"Slot 1 is dummy wafer and restart, process and resume step to continue, without issue., Problem: Temp 3 is not on., Action: restart process and resume step., Slot 1 is dummy wafer and restart, process and resume step to continue, without issue., Problem: Temp 3 is not on., Action: restart process and resume step.",Temp 3 is not on.,Restart process and resume step; use dummy wafer in slot 1 and restart process to continue without issue.,System Operating issues
11,RIE03     ,0,3/4/2024 22:00,UMCOMP,D,"Problem:, Alarm: Poor quality chuck seal: Helium, flow=5.58sccm, limit is 5.00, PRC:, dirty wafer, Act:, Abort the wafer in alarm menu., Wafer is returned to slot 3 and next waf, ers processed with no issues., Wafer from slot 3 is unprocessed and, needs to be looked at by MEVC, Problem:, Alarm: Poor quality chuck seal: Helium, flow=5.58sccm, limit is 5.00, PRC:, dirty wafer, Act:, Abort the wafer in alarm menu., Wafer is returned to slot 3 and next waf, ers processed with no issues., Wafer from slot 3 is unprocessed and, needs to be looked at by MEVC","Alarm: Poor quality chuck seal: Helium, flow=5.58 sccm, limit is 5.00; PRC: dirty wafer",Abort the wafer in alarm menu; wafer is returned to slot 3; next wafers processed with no issues; wafer from slot 3 left unprocessed and to be inspected by MEVC,Chuck seal issues
12,RIE03     ,0,6/2/2024 0:59,UMCOMP,D,"Test run completed w/o issues. Maint, qual is passed. RTP for qual., Test run completed w/o issues. Maint, qual is passed. RTP for qual.",,Test run completed without issues; maintenance and qualification passed; ready to proceed (RTP) for qualification.,
13,RIE03     ,0,6/8/2024 1:00,UMCOMP,D,"Test run completed w/o any issues. RTP, for qual., Test run completed w/o any issues. RTP, for qual.",,Test run completed without any issues for RTP qualification,
14,RIE03     ,0,7/25/2024 11:47,UMCOMP,D,"Problem:Back side He pressure alarm, PRC:Wafer back side., Action:Stop process and unloaded the, wafer.OP will try a differant dummy, wafer.., Problem:Back side He pressure alarm, PRC:Wafer back side., Action:Stop process and unloaded the, wafer.OP will try a differant dummy, wafer..","Back side He pressure alarm, PRC: Wafer back side.",Stopped process and unloaded the wafer. Operator will try a different dummy wafer.,Backside issues
15,RIE03     ,0,8/9/2024 9:31,UMCOMP,D,"Problem: power glitch., Action: recovered system and performed, testrun without issues., Problem: power glitch., Action: recovered system and performed, testrun without issues.",power glitch.,recovered system and performed testrun without issues.,Power glitch issues
16,RIE03     ,0,8/13/2024 17:46,UMCOMP,D,"Problem:Wafer not seen on TM-PM, PRC:Dummy wafer too dark., Action:Wafer was in the TM.Unloaded back, to cassette.OP need to repalce wafer#2., Problem:Wafer not seen on TM-PM, PRC:Dummy wafer too dark., Action:Wafer was in the TM.Unloaded back, to cassette.OP need to repalce wafer#2.",Wafer not seen on TM-PM; PRC: Dummy wafer too dark.,"Wafer was in the TM, unloaded back to cassette, operator needs to replace wafer #2.",Material or wafer was not detected
17,RIE03     ,0,8/14/2024 17:13,UMCOMP,D,"Problem:EMO button was accidently press, PRC:Power to the tool shut off., Action:No wafers were in the tool.Power, up the tool.Turned on all the pumps, and rebooted system.Tool is now ready, for full quals...., Problem:EMO button was accidently press, PRC:Power to the tool shut off., Action:No wafers were in the tool.Power, up the tool.Turned on all the pumps, and rebooted system.Tool is now ready, for full quals....",EMO button was accidentally pressed causing power to the tool to shut off. No wafers were in the tool.,"Powered up the tool, turned on all the pumps, rebooted the system. Tool is now ready for full qualifications.",System Operating issues
18,RIE03     ,0,8/21/2024 3:21,UMCOMP,D,"Test run completed w/o any issues. RTP, for qual., Test run completed w/o any issues. RTP, for qual.",,Test run completed without any issues for RTP qualification,
19,RIE03     ,0,9/10/2024 22:02,UMCOMP,D,"PROBLEM:, TOOL ALARMED FOR HELIUM TOOK TOO LONG, TO STABILIZE, PRC:, WAFER WAS PUT SHORT OF THE CHUCK, ACT:, Looks like the wafer was ""put"" a little, short of the position it normally goes, too. Recovered the wafer IP and ran, 2 dummies while observing the drop., No issues.......................RTP, PROBLEM:, TOOL ALARMED FOR HELIUM TOOK TOO LONG, TO STABILIZE, PRC:, WAFER WAS PUT SHORT OF THE CHUCK, ACT:, Looks like the wafer was ""put"" a little, short of the position it normally goes, too. Recovered the wafer IP and ran, 2 dummies while observing the drop., No issues.......................RTP",Tool alarmed: helium took too long to stabilize; wafer was put short of the chuck (position slightly short of normal).,Recovered wafer IP; ran 2 dummy wafers while observing the drop; confirmed no issues.,helium took too long to stabilize
20,RIE03     ,0,9/17/2024 20:55,UMCOMP,D,"Problem:, Tool Alarm: Poor quality chuck seal:, Helium flow=6.09sccm, limitis 5.00, PRC:, Dirty dummy, Act:, Abort wafer 1. Next wafer in runs fine., ws a dirty dummy wafer, Problem:, Tool Alarm: Poor quality chuck seal:, Helium flow=6.09sccm, limitis 5.00, PRC:, Dirty dummy, Act:, Abort wafer 1. Next wafer in runs fine., ws a dirty dummy wafer",Tool Alarm: Poor quality chuck seal. Helium flow=6.09sccm (limit 5.00). Dirty dummy wafer.,"Aborted wafer 1. Ran next wafer, which processed fine.",Chuck seal issues
21,RIE03     ,0,10/1/2024 0:47,UMCOMP,D,"Problem: He seal, PRC: Dirty wafer., Action: Fail He seal on dummy wafer., Removed wafer. Production wafer ran OK, Qual if needed..., Problem: He seal, PRC: Dirty wafer., Action: Fail He seal on dummy wafer., Removed wafer. Production wafer ran OK, Qual if needed...","He seal, PRC: Dirty wafer.","Fail He seal on dummy wafer, remove wafer, run production wafer, qualify if needed.",Chuck seal issues
22,RIE03     ,0,10/13/2024 21:17,UMCOMP,D,"Problem: transfer issue., Action: Adjust sensor and continue trans, fer. RTP., Problem: transfer issue., Action: Adjust sensor and continue trans, fer. RTP.",transfer issue,Adjust sensor and continue transfer RTP,Others
23,RIE03     ,0,10/17/2024 5:23,UMCOMP,D,"Problem:Material was not detected on the, robot arm., PRC: Bad dummy wafer, Action: aborted process task, unloaded, wafer. ran 3 altic dummies with out, problem. rtp...no qual needed., Problem:Material was not detected on the, robot arm., PRC: Bad dummy wafer, Action: aborted process task, unloaded, wafer. ran 3 altic dummies with out, problem. rtp...no qual needed.",Material was not detected on the robot arm. PRC: Bad dummy wafer.,"Aborted process task, unloaded wafer, ran 3 ALTIC dummy wafers without problem, RTP performed, no qual needed.",Material or wafer was not detected
24,RIE03     ,0,10/17/2024 12:00,UMCOMP,D,"PROBLEM:Pressure out of tolorance., PRC:Ion gauge., Action:Could not get the on gauge to, come on.Re-booted the system and I am, able to turn on the Ion gauge..., PROBLEM:Pressure out of tolorance., PRC:Ion gauge., Action:Could not get the on gauge to, come on.Re-booted the system and I am, able to turn on the Ion gauge...",Pressure out of tolerance; ion gauge would not turn on.,"Attempted to turn on ion gauge but it would not come on; rebooted the system; after reboot, successfully turned on the ion gauge.",Pressure Out of compliance
25,RIE03     ,0,11/19/2024 16:23,UMCOMP,D,"PROBLEM:TM vacuum leak up.., PRC:Vacuum sequence., Action:Manually pumped down the TM., PM2 slit valve opened and the wafer, transfered to pm w/o issues.., PROBLEM:TM vacuum leak up.., PRC:Vacuum sequence., Action:Manually pumped down the TM., PM2 slit valve opened and the wafer, transfered to pm w/o issues..",TM vacuum leak up during vacuum sequence.,"Manually pumped down the TM. Opened PM2 slit valve and transferred wafer to PM without issues. (Sequence repeated: manually pumped down TM again, opened PM2 slit valve, and transferred wafer to PM without issues.)",slit valve issues
26,RIE03     ,0,11/23/2024 2:37,UMCOMP,D,"No problem founded, wafer on LL. RTP., No problem founded, wafer on LL. RTP.",,Wafer placed on load lock (LL) for RTP; system checked and no problem found.,
27,RIE03     ,0,11/23/2024 16:09,UMCOMP,D,"Problem:, Slit valve took too long to open., Action:, Retry opening slit valve to continue., Problem:, Slit valve took too long to open., Action:, Retry opening slit valve to continue.",Slit valve took too long to open.,Retry opening slit valve to continue.,slit valve issues
28,RIE03     ,0,11/30/2024 21:55,UMCOMP,D,"Rebooted completed. RTP., Rebooted completed. RTP.",,Rebooted completed. RTP.; Rebooted completed. RTP.,
29,RIE03     ,0,12/1/2024 0:07,UMCOMP,D,"Rebooted completed. RTP., Rebooted completed. RTP.",,"Reboot completed, RTP performed",
30,RIE03     ,0,12/1/2024 18:29,UMCOMP,D,"Justed retry opening slit valve and, continuing. RTP., Justed retry opening slit valve and, continuing. RTP.",Issue with opening slit valve; required retry to open,Retried opening slit valve and then continued RTP process,slit valve issues
31,RIE03     ,0,12/3/2024 3:41,UMCOMP,D,"Problem:, Material was not detected on the robot, arm prior to a put operation., PRC:, Dirty dummy wafer, Act:, Observed taht the wafer is on the arm, and continue the run. We need more, NEW Altic dummies. We keep using the sam, e used up dummies and these issues, WILL continue, Problem:, Material was not detected on the robot, arm prior to a put operation., PRC:, Dirty dummy wafer, Act:, Observed taht the wafer is on the arm, and continue the run. We need more, NEW Altic dummies. We keep using the sam, e used up dummies and these issues, WILL continue",Material was not detected on the robot arm prior to a put operation; dirty dummy wafer causing detection issues,Observed wafer was actually on the arm and continued the run; noted need for new Altic dummy wafers instead of reusing worn dummies,Material or wafer was not detected
32,RIE03     ,0,12/25/2024 0:17,UMCOMP,D,"Problem:, Could not open PM2 slit valve:Slit valve, took too long to open, PRC:, Pressure difference, act:, Retried the transfer and wafer was loade, d. Observed unload and next wafer also, ........................................, Problem:, Could not open PM2 slit valve:Slit valve, took too long to open, PRC:, Pressure difference, act:, Retried the transfer and wafer was loade, d. Observed unload and next wafer also, ........................................, Problem:, Could not open PM2 slit valve:Slit valve, took too long to open, PRC:, Pressure difference, act:, Retried the transfer and wafer was loade, d. Observed unload and next wafer also, ........................................",Could not open PM2 slit valve; slit valve took too long to open; pressure difference (PRC),Retried the transfer; wafer was loaded; observed unload and next wafer also,slit valve issues
